Designator,Footprint,Quantity,Value,LCSC Part #
"C2, C4",603,2,"4,7u",
"C5, C6",603,2,1,
D1,603,1,LED,
J1,JUSHUO_AFA07-S20FCA-00_1x20-1MP_P1.0mm_Horizontal,1,Conn_01x20,C262724
J2,USB_Micro-B_Amphenol_10103594-0001LF_Horizontal,1,USB_B_Micro,C428495
J3,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,Conn_01x02,C173752
J4,PinSocket_1x05_P2.54mm_Vertical,1,Conn_01x05,C2897368
MUX1,SSOP-24_5.3x8.2mm_P0.65mm,1,CD74HC4067SM,C98457
R1,603,1,"2,7k",
R2,603,1,470,
"R3, R4",603,2,10k,
RECHARGE1,SOT-23-5,1,MCP73831-2-OT,C635036
REGULATOR1,SOT-23-5,1,AP2112K-3.3,C3021085
"TP10, TP15, TP17, TP19, TP20, TP22, TP24, TP4, TP5, TP7, TP8, TP9",TestPoint_Pad_D1.0mm,12,TestPoint,
U2,ESP32-C6-MINI-1,1,ESP32-C6-MINI-1/U,C5736265
