Designator,Mid X,Mid Y,Rotation,Layer
C2,122.0,-111.225,270.0,top
C4,128.225,-104.5,0.0,top
C5,113.0,-120.0,0.0,top
C6,121.775,-120.0,180.0,top
D1,129.5,-111.0,0.0,top
H1,86.5,-97.0,0.0,top
H2,135.0,-97.0,0.0,top
H3,86.5,-136.5,0.0,top
H4,134.0,-136.5,0.0,top
J1,104.0,-99.875,180.0,top
J2,128.0,-130.755,270.0,bottom
J3,128.0,-101.5,0.0,top
J4,117.33,-135.5,90.0,top
MUX1,97.925,-114.0,0.0,bottom
R1,126.0,-114.825,90.0,top
R2,126.0,-118.675,90.0,top
R3,117.5,-126.175,90.0,top
R4,110.0,-126.825,270.0,top
RECHARGE1,125.0,-110.5,90.0,top
REGULATOR1,117.8625,-120.95,180.0,top
TP10,98.5,-120.0,0.0,bottom
TP15,121.0,-122.5,0.0,top
TP17,127.0,-106.5,0.0,top
TP19,116.768845,-116.89922,0.0,top
TP20,114.0,-122.0,0.0,top
TP22,123.0,-115.0,0.0,top
TP24,112.274345,-132.520514,0.0,top
TP4,122.0,-131.5,0.0,bottom
TP5,121.5,-129.0,0.0,bottom
TP7,90.5,-118.0,0.0,bottom
TP8,92.0,-114.0,0.0,bottom
TP9,100.585846,-122.746169,0.0,bottom
U2,97.7,-130.9,270.0,bottom
